title,rating,date,description,reviewUrl,isVerified,isReviewInIndia,customerName,productSize
Not durable,2.0,29 September 2024,On the second day of it's purchased the comb accidentally fell from my hand to the floor and broke. Did not expect it to break so easily and early. I have a wooden comb of just herbs which I bought 2 years ago. That fell from the 2nd floor of my building and didn't even have a scratch on it.,https://www.amazon.in/gp/customer-reviews/RQUTFB99IPCLA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Tabassum,
Not worth it,2.0,25 September 2024,"The bristles are too sharp it can hurt ur scalp ,amazon was kind enough to refund me eventhough it was non returnable , but nat habit pls work on this product",https://www.amazon.in/gp/customer-reviews/R1UKJ8D64KIWIC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Moksha,
Quality is very poor,2.0,23 September 2024,Broke within a month. Quality is not at all worth the price. Rest I haven't seen any reduction in hair fall nor quality of hair improved.,https://www.amazon.in/gp/customer-reviews/R1KGLCSXZACM0Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Aashima,
Rough edges,2.0,16 September 2024,The edge of the comb is not smooth and has rough edges. It tangled the hair even more and caused more breakage in my case as I am already going through hair-fall.,https://www.amazon.in/gp/customer-reviews/RKXA07SC6CWAE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Ishita,
Expensive,2.0,11 September 2024,Expensive,https://www.amazon.in/gp/customer-reviews/R3HFMOHE3AYWUW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Akash borse,
Bad quality,2.0,3 June 2024,It's very bad harsh comb which break the hair,https://www.amazon.in/gp/customer-reviews/R1IKA055YEEYY5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Malika,
Neem comb,2.0,5 March 2024,The comb has sharp teeth and hurts the scalp,https://www.amazon.in/gp/customer-reviews/R2F3KE4S7NHUXC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Jas Gattani,
Abc,2.0,13 February 2024,"The comb is very sharp and also not good , after using the comb my hair starts dancing in the air",https://www.amazon.in/gp/customer-reviews/R3MXYJZOAJFTI2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Kartik Dangayach,
Received Broken One,2.0,12 April 2022,,https://www.amazon.in/gp/customer-reviews/R1CC2I0ZF8E0G4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,False,True,anamika sah,
Hard comb,3.0,19 January 2025,Comb is hard,https://www.amazon.in/gp/customer-reviews/RA3P4SE93HJ10/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Monika Saurkar,
Not as expected,3.0,30 November 2024,Should be more sharply,https://www.amazon.in/gp/customer-reviews/R3F466YZCN0KX7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,RG RajaSekar,
Are u providing good packing??,3.0,8 November 2024,It’s first time that Not happy with the packing otherwise it’s good,https://www.amazon.in/gp/customer-reviews/R1BVN7WEI0P56C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Ur packing are not well,
Uneven finishing,3.0,27 October 2024,"Smells like plywood. Doesn't seem like it's oil treated. Delicate and hard to clean. And the finishing between the bristles is not good at all, makes the comb look cheap",https://www.amazon.in/gp/customer-reviews/R2M1G7KX1QD6JK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Sakshi Jadhav ,
Good product,3.0,16 September 2024,The teeth are so sharp.,https://www.amazon.in/gp/customer-reviews/RY1HY226BDGRR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True, ANUHYA_07,
Good 👍,3.0,7 September 2024,Nice product...,https://www.amazon.in/gp/customer-reviews/R364CK673BYR3R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Nidhi,
